MITTNYTT/JÄMTLANDSNYTT,Tidningen Ångermanland, http://allehanda.se/
VÄSTNYTT/HALLANDSNYTT,Bohuslänningen, http://bohuslaningen.se/
MITTNYTT/JÄMTLANDSNYTT,Dagbladet, http://dagbladet.se/
ÖSTNYTT/SÖRMLANDSNYTT,Eskilstuna-Kuriren, http://ekuriren.se/
VÄSTNYTT/HALLANDSNYTT,Hallandsposten, http://hallandsposten.se/
SYDNYTT/BLEKINGENYTT,Helsingborgs Daglad, http://hd.se/
VÄSTNYTT/HALLANDSNYTT,Hallandsnyheter, http://hn.se/
ÖSTNYTT/SÖRMLANDSNYTT,Katrineholms-Kuriren, http://kkuriren.se/
MITTNYTT/JÄMTLANDSNYTT,Länstidningen, http://ltz.se/nyheter/allt
TVÄRSNYTT/ VÄSTMANLANDSNYTT,Nerikes allehanda, http://na.se/
VÄSTERBOTTENSNYTT,Norran, http://norran.se/
MITTNYTT/JÄMTLANDSNYTT,Östersundsposten, http://op.se/nyheter/ettan
MITTNYTT/JÄMTLANDSNYTT,Sundsvalls tidning, http://st.nu/
SYDNYTT/BLEKINGENYTT,SR P4 Blekinge, http://sverigesradio.se/blekinge/
ÖSTNYTT/SÖRMLANDSNYTT,SR P4 Gotland, http://sverigesradio.se/gotland/
SYDNYTT/BLEKINGENYTT,SR P4 Malmöhus, http://sverigesradio.se/malmo/
NORDNYTT,SR P4 Norrbotten, http://sverigesradio.se/norrbotten/
ÖSTNYTT/SÖRMLANDSNYTT,SR P4 Östergötland, http://sverigesradio.se/ostergotland/
VÄSTNYTT/HALLANDSNYTT,SR P4 Göteborg, http://sverigesradio.se/sida/default.aspx?programid=104
VÄSTERBOTTENSNYTT,SR P4 Västerbotten, http://sverigesradio.se/sida/default.aspx?programid=109
TVÄRSNYTT/ VÄSTMANLANDSNYTT,SR P4 Västmanland, http://sverigesradio.se/sida/default.aspx?programid=112
VÄSTNYTT/HALLANDSNYTT,SR P4 Väst, http://sverigesradio.se/sida/default.aspx?programid=125
VÄSTNYTT/HALLANDSNYTT,SR P4 Halland, http://sverigesradio.se/sida/default.aspx?programid=128
TVÄRSNYTT/ VÄSTMANLANDSNYTT,SR P4 Örebro, http://sverigesradio.se/sida/default.aspx?programid=159
MITTNYTT/JÄMTLANDSNYTT,SR P4 Jämtland, http://sverigesradio.se/sida/default.aspx?programid=78
ÖSTNYTT/SÖRMLANDSNYTT,SR P4 Sörmland, http://sverigesradio.se/sormland/
VÄRMLANDSNYTT,SR P4 Värmland, http://sverigesradio.se/varmland/
MITTNYTT/JÄMTLANDSNYTT,SR P4 Västernorrland, http://sverigesradio.se/vasternorrland/
VÄSTNYTT/HALLANDSNYTT,Ttela, http://ttela.se/
TVÄRSNYTT/ VÄSTMANLANDSNYTT,Vlt, http://vlt.se/
SYDNYTT/BLEKINGENYTT,BLT/Sydöstran, http://www.bltsydostran.se/
VÄSTNYTT/HALLANDSNYTT,Borås tidning, http://www.bt.se/
ÖSTNYTT/SÖRMLANDSNYTT,Corren, http://www.corren.se
VÄSTNYTT/HALLANDSNYTT,GT, http://www.expressen.se/gt/
VÄSTERBOTTENSNYTT,Folkbladet, http://www.folkbladet.nu/
VÄSTNYTT/HALLANDSNYTT,GP, http://www.gp.se/
ÖSTNYTT/SÖRMLANDSNYTT,helagotland.se, http://www.helagotland.se/
SYDNYTT/BLEKINGENYTT,Kristianstadsbladet, http://www.kristianstadsbladet.se/
